question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
Which channel had the smallest slice of spend?,Email,"Provide your response to the following prompt:

<prompt>
Based on the provided pie chart titled ""Marketing Spend by Channel"", identify which marketing channel corresponds to the smallest percentage slice of the total spend.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst specializing in marketing performance. You have a keen eye for interpreting visual data representations and extracting specific metrics from charts. Your expertise ensures an accurate reading of percentages to identify the smallest expenditure among the channels. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Email,pie,easy,syn_pie_0110__q2,"annotated pie; procedural gen (seed=46, idx=10)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0110.png,synthetic,train,max_min,true
Rank the top 3 categories by share of sales.,"Subscriptions, Hardware, Consulting","Provide your response to the following prompt:

<prompt>
Analyze the provided donut chart titled 'Sales by Product Category' and rank the top 3 categories by their percentage share of sales, listing them in descending order.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst specializing in data visualization. You possess a keen eye for interpreting chart data and transforming visual information into actionable business insights. Your expertise allows you to quickly rank and summarize categorical data from complex visual representations. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Subscriptions, Hardware, Consulting",donut,medium,syn_donut_0102__q4,"annotated donut; procedural gen (seed=46, idx=96)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_donut_0102.png,synthetic,train,rank_order,true
Revenue for Delta?,$2700,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Monthly Revenue by Team', what is the revenue value for the team labeled 'Delta'?
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with expertise in interpreting business charts and reports. You have a keen eye for detail and accuracy when extracting specific values from visual data representations to provide precise business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$2700,bar,easy,syn_bar_0211__q1,"annotated bars; procedural gen (seed=42, idx=111)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0211.png,synthetic,train,lookup_value,true
By how much does Direct's revenue exceed Reseller's?,$9700,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'H1 Revenue by Channel', calculate the difference in revenue between the 'Direct' channel and the 'Reseller' channel. Specifically, determine by how much the Direct channel's revenue exceeds the Reseller channel's revenue.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a business data analyst with expertise in interpreting financial charts and performing quantitative comparisons. You have a keen eye for extracting precise values from visualizations to provide accurate business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",9700,bar,medium,syn_bar_0209__q3,"annotated bars; procedural gen (seed=42, idx=109)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0209.png,synthetic,train,delta_absolute,true
List the bottom 3 regions by total revenue.,"NA, APAC, LATAM","Provide your response to the following prompt:

<prompt>
Analyze the provided stacked bar chart titled 'Revenue by Region: Product Breakdown' to determine the total revenue for each region. Calculate the sum of the 'Basic', 'Pro', and 'Premium' segments for every region shown. Finally, list the bottom 3 regions ranked by total revenue in ascending order.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst with expertise in data storytelling and visualization. You are skilled at interpreting stacked bar charts to derive quantitative insights and ranking performance metrics across different business regions to support strategic decision-making. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","NA, APAC, LATAM",stacked_bar,medium,syn_stacked_0114__q4,"annotated stacked bars; procedural gen (seed=45, idx=14)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0114.png,synthetic,train,rank_order,true
What was the revenue difference between Enterprise and Startup?,$700,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'H2 Revenue by Segment', calculate the revenue difference between the Enterprise segment and the Startup segment. Identify the revenue values for each segment from the chart and subtract the Startup revenue from the Enterprise revenue to determine the difference.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst with expertise in data visualization. You are skilled at interpreting financial charts and performing quantitative comparisons to extract business insights. Your precision in reading data labels ensures accurate financial reporting. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",700,bar,medium,syn_bar_0144__q3,"annotated bars; procedural gen (seed=42, idx=44)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0144.png,synthetic,train,delta_absolute,true
Was Paid's share of traffic larger than Organic's?,Yes,"Provide your response to the following prompt:

<prompt>
Based on the provided pie chart titled 'Traffic by Source', determine whether the traffic share for 'Paid' is larger than the traffic share for 'Organic'.

Chart Data:
- Social: 24.3%
- Organic: 21.7%
- Referral: 7.1%
- Paid: 23.7%
- Email: 23.2%

Please compare the specific percentage values for 'Paid' and 'Organic' to answer the question.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst specializing in digital marketing metrics. You have extensive experience interpreting traffic source charts to evaluate channel performance. Your expertise allows you to accurately extract and compare numerical values from visual data representations to provide precise business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Yes,pie,medium,syn_pie_0118__q3,"annotated pie; procedural gen (seed=46, idx=18)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0118.png,synthetic,train,compare_categories,true
How much total revenue did EMEA generate?,$6200,"Provide your response to the following prompt:

<prompt>
Analyze the provided stacked bar chart titled 'Regional Revenue by Product' to determine the total revenue generated by the EMEA region. Calculate the sum of the revenue values for all product tiers (Basic, Pro, and Premium) specifically for the EMEA bar.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst specializing in data visualization. You have an expert eye for interpreting stacked bar charts and performing quick quantitative aggregations to extract key business metrics from visual reports. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",6200,stacked_bar,medium,syn_stacked_0129__q3,"annotated stacked bars; procedural gen (seed=45, idx=29)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0129.png,synthetic,train,aggregation_sum_avg,true
"In 2000 across all WHO regions for Both sexes, which region had the lowest HALE?",African Region,"Provide your response to the following prompt:

<prompt>
Based on the provided chart, identify which WHO region had the lowest Healthy Life Expectancy (HALE) for 'Both sexes' in the year 2000. Please provide the specific region name and the corresponding HALE value.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a public health data analyst specializing in global health metrics. You are expert at interpreting complex WHO charts and extracting specific data points across different demographics and regions to provide accurate comparative analysis. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","African Region, 46",stacked_bar,medium,hs_0027__q2,hardset; WHO; charts27.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0027.png,hardset,train,max_min,true
By how many units does Widget D exceed Widget C?,500,"Provide your response to the following prompt:

<prompt>
Based on the bar chart titled 'Weekly Units Sold by Product', calculate the difference in units sold between Widget D and Widget C. Specifically, determine by how many units Widget D exceeds Widget C.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Data Analyst with a keen eye for detail and quantitative accuracy. You specialize in interpreting business charts and performing precise calculations to derive insights from visual data. Your expertise ensures that numerical differences are calculated correctly and communicated clearly. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",500,bar,medium,syn_bar_0104__q3,"annotated bars; procedural gen (seed=42, idx=4)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0104.png,synthetic,train,delta_absolute,true
"From Mar to Apr, did users increase or decrease?",Increased,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Active Users by Month — H2 2024', determine whether the number of active users increased or decreased from Mar to Apr. Use the labeled data points for these months to support your answer.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Data Analyst with expertise in business intelligence. You are skilled at interpreting line charts and trend data to provide accurate quantitative insights. Your sensibility is precise and analytical, making you ideal for extracting specific data points from visual reports. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Increased,line,easy,syn_line_0162__q3,"annotated line; procedural gen (seed=43, idx=62, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0162.png,synthetic,train,trend_direction,true
Was Email's share of spend larger than Affiliate's?,No,"Provide your response to the following prompt:

<prompt>
Based on the provided pie chart titled 'Ad Spend by Channel', determine whether the 'Email' channel's share of spend was larger than the 'Affiliate' channel's share. Please compare the percentage values shown for each segment to answer the question.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst specializing in marketing performance. You have a keen eye for interpreting visual data representations like pie charts and comparing quantitative metrics to provide accurate business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",No,pie,medium,syn_pie_0145__q3,"annotated pie; procedural gen (seed=46, idx=45)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0145.png,synthetic,train,compare_categories,true
How much total revenue did LATAM generate?,$5400,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled ""Regional Revenue by Product,"" calculate the total revenue generated by the LATAM region. To do this, sum the revenue values for all three product categories (Software, Services, and Hardware) listed within the LATAM bar.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in interpreting corporate financial dashboards. You possess a keen eye for detail in reading stacked bar charts and are skilled at aggregating data points to provide accurate financial summaries for regional performance reviews. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$5400,stacked_bar,medium,syn_stacked_0135__q3,"annotated stacked bars; procedural gen (seed=45, idx=35)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0135.png,synthetic,train,aggregation_sum_avg,true
What percentage of budget came from Marketing?,24.6%,"Provide your response to the following prompt:

<prompt>
Based on the provided pie chart titled 'Budget by Department', what percentage of the total budget is allocated to the Marketing department?
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst specializing in business intelligence. You have an expert eye for interpreting visual data representations like pie charts and are seasoned in extracting precise quantitative insights to support corporate financial reporting. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",24.6%,pie,easy,syn_pie_0109__q1,"annotated pie; procedural gen (seed=46, idx=9)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0109.png,synthetic,train,lookup_value,true
Name the bottom 3 segments in revenue.,"SMB, Enterprise, Mid-Market","Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'H1 Revenue by Segment', identify and list the three segments with the lowest revenue values. Please include the specific revenue amount for each of these bottom three segments.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst with a keen eye for data interpretation. You specialize in extracting actionable insights from visual reports and charts to help stakeholders make informed strategic decisions. Your expertise allows you to quickly identify trends and outliers in revenue data. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","SMB $2500, Enterprise $2900, Mid-Market $6800",bar,medium,syn_bar_0114__q4,"annotated bars; procedural gen (seed=42, idx=14)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0114.png,synthetic,train,rank_order,true
What was the revenue difference between Retail and Partner?,$1400,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'H2 Revenue by Channel', calculate the revenue difference between the 'Retail' channel and the 'Partner' channel.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst with expertise in data visualization. You are skilled at extracting precise values from charts and performing quantitative comparisons to provide actionable business insights. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",$1400,bar,medium,syn_bar_0185__q3,"annotated bars; procedural gen (seed=42, idx=85)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0185.png,synthetic,train,delta_absolute,true
What was the revenue difference between Theta and Beta?,$100,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Q3 Revenue by Team', calculate the revenue difference between the Theta team and the Beta team. Please provide the final numerical value.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in data storytelling. You possess a keen eye for interpreting visual charts and performing quick quantitative calculations to derive business insights from revenue dashboards. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",100,bar,medium,syn_bar_0157__q3,"annotated bars; procedural gen (seed=42, idx=57)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0157.png,synthetic,train,delta_absolute,true
Did Email have a bigger share of traffic than Paid?,Yes,"Provide your response to the following prompt:

<prompt>
Analyze the provided pie chart titled 'Traffic by Source'. Determine whether the 'Email' category has a larger percentage share of traffic than the 'Paid' category. Provide a clear answer based on the data shown.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst specializing in digital marketing. You have extensive experience interpreting traffic acquisition reports and pie charts to provide actionable business insights. You are detail-oriented and skilled at extracting and comparing quantitative values from visual data representations. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",Yes,pie,medium,syn_pie_0113__q3,"annotated pie; procedural gen (seed=46, idx=13)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0113.png,synthetic,train,compare_categories,true
Did revenue increase or decrease from Feb to Mar?,Increased,"Provide your response to the following prompt:

<prompt>
Based on the provided chart titled 'Monthly Revenue — H1 2025', determine whether revenue increased or decreased from February to March. Support your answer by citing the specific revenue values shown for each month.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a data analyst with a sharp eye for visual trends and quantitative accuracy. You specialize in interpreting business performance charts and providing concise, data-driven answers to help stakeholders understand revenue fluctuations. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Increased, from $6415 to $6963",line,easy,syn_line_0001__q3,annotated line; correct-by-construction,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0001.png,synthetic,train,trend_direction,true
What was the unit sales difference between Widget B and Widget D?,400,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Q3 Units Sold by Product', calculate the difference in unit sales between Widget B and Widget D. Please show your work by identifying the sales figures for each product and performing the subtraction.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst with expertise in data visualization. You are skilled at interpreting charts and performing quantitative calculations to extract actionable business insights, making you ideal for analyzing sales performance data. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",400,bar,medium,syn_bar_0182__q3,"annotated bars; procedural gen (seed=42, idx=82)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0182.png,synthetic,train,delta_absolute,true
Was EMEA's revenue higher in H1 or H2?,H2,"Provide your response to the following prompt:

<prompt>
Based on the provided bar chart titled 'Revenue by Region: H1 vs H2', determine whether the EMEA region generated higher revenue in H1 or H2. Please identify the specific revenue values for both periods to support your answer.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in interpreting corporate financial dashboards. You have a keen eye for extracting quantitative data from visualizations to provide accurate business insights. Your expertise allows you to quickly compare metrics across time periods and regions. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","H2, $6300, $7400",grouped_bar,medium,syn_grouped_0141__q3,"annotated grouped bars; procedural gen (seed=44, idx=41)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0141.png,synthetic,train,multi_series_compare,true
What percentage of spend came from SEO?,28.0%,"Provide your response to the following prompt:

<prompt>
Based on the provided pie chart titled 'Marketing Spend by Channel', identify the percentage of total marketing spend allocated to the 'SEO' channel.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Data Analyst specializing in marketing performance. You have a keen eye for extracting precise values from visual data representations like pie charts and are experienced in reporting key performance indicators (KPIs) to business stakeholders. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",28.0%,pie,easy,syn_pie_0100__q1,"annotated pie; procedural gen (seed=46, idx=0)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0100.png,synthetic,train,lookup_value,true
Name the top 3 segments in total revenue.,"Consumer, Enterprise, Education","Provide your response to the following prompt:

<prompt>
Analyze the provided bar chart titled 'Revenue by Segment: Product Tier Breakdown' and identify the top 3 segments based on their total revenue. List these segments in descending order of revenue, including the calculated total revenue for each.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a Business Intelligence Analyst experienced in interpreting financial dashboards. You possess a sharp eye for data visualization and quantitative analysis, making you ideally placed to accurately aggregate stacked bar chart values to determine total revenue across different market segments. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.","Consumer: $9400, Enterprise: $6700, Education: $5500",stacked_bar,medium,syn_stacked_0160__q4,"annotated stacked bars; procedural gen (seed=45, idx=60)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0160.png,synthetic,train,rank_order,true
"For the Education dimension in Low-income countries, what was the median difference in DTP zero-dose prevalence?",16.2,"Provide your response to the following prompt:

<prompt>
Based on the provided chart, identify the median difference in DTP zero-dose prevalence for the 'Education' dimension within 'Low-income' countries.
</prompt>

Adhere to the following constraints in your response unless it contradicts a constraint that is already given in the prompt above:

# Constraints
The question you must answer is from a data-analysis-visualization domain. You are a public health data analyst specializing in global immunization trends. You are an expert at interpreting complex statistical charts and extracting specific data points to identify health inequalities across different socio-economic demographics and regions. Do not make reference to your persona, job or expertise in the response, your background should only inform the quality of the response.. Respond in the language of the user's prompt unless requested otherwise. Ensure that the length of your response is minimal. Your response must be as short as possible (even if this would require sacrificing some stylistic qualities of your response) while correctly adhering to all of the given instructions.

# Important
In your response, do not explicitly reference or reveal to the user the domain, persona constraints stated here. Instead, just use these constraints to improve the quality of the response. Ensure that your response is in the same language of the user.",16.2,bar,medium,hs_0019__q1,hardset; WHO; charts18.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0019.png,hardset,train,lookup_value,true
