question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
What was the revenue difference between Media and Finance?,$6300,,"From the bar chart:

- **Media** revenue = **$10,400**
- **Finance** revenue = **$4,100**

To find the difference:

**$10,400 - $4,100 = $6,300**

✅ The revenue difference between Media and Finance is **$6,300**.",bar,medium,syn_bar_0172__q3,"annotated bars; procedural gen (seed=42, idx=72)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0172.png,synthetic,train,delta_absolute,true
"In Actual, which channel had the highest revenue?",Marketplace,,"Looking at the **Actual** revenue values (orange bars) in the chart:

- **Retail**: $8,100  
- **Direct**: $3,600  
- **Marketplace**: $8,500  
- **Online**: $7,300  

The highest actual revenue is **$8,500**, which belongs to the **Marketplace** channel.

✅ **Answer: Marketplace**",grouped_bar,easy,syn_grouped_0215__q2,"annotated grouped bars; procedural gen (seed=44, idx=115)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0215.png,synthetic,train,max_min,true
Rank the bottom 3 segments by revenue.,"Government, Consumer, Enterprise",,"Based on the bar chart “FY2021 Revenue by Segment”, here are the revenues for each segment:

- **Enterprise**: $6,200  
- **Mid-Market**: $7,700  
- **Consumer**: $4,600  
- **Government**: $3,900  

To rank the **bottom 3 segments by revenue** (i.e., the three with the lowest revenue), we order them from lowest to highest:

1. **Government** — $3,900  
2. **Consumer** — $4,600  
3. **Enterprise** — $6,200  

> ✅ **Final Answer: Government, Consumer, Enterprise**

*(Note: Mid-Market is the top segment and excluded from the bottom 3.)*",bar,medium,syn_bar_0138__q4,"annotated bars; procedural gen (seed=42, idx=38)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0138.png,synthetic,train,rank_order,true
Rank the bottom 3 segments by revenue.,"Government, Startup, Mid-Market",,"Based on the bar chart titled **FY2022 Revenue by Segment**, here are the revenues for each segment:

- **Startup**: $3,100  
- **Mid-Market**: $3,500  
- **Enterprise**: $10,700  
- **Nonprofit**: $9,500  
- **Government**: $1,800  
- **Education**: $8,400  

### Ranking the bottom 3 segments by revenue (lowest to highest):

1. **Government** — $1,800  
2. **Startup** — $3,100  
3. **Mid-Market** — $3,500  

✅ **Final Answer: Government, Startup, Mid-Market**",bar,medium,syn_bar_0210__q4,"annotated bars; procedural gen (seed=42, idx=110)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0210.png,synthetic,train,rank_order,true
Which quarter had the highest total revenue?,Q3,,"To determine which quarter had the **highest total revenue**, we need to sum the revenues from all three channels (Organic, Paid, Referral) for each quarter.

Let’s calculate the total revenue per quarter:

---

**Q1:**
- Organic: $4000
- Paid: $3700
- Referral: $2600  
→ **Total = 4000 + 3700 + 2600 = $10,300**

---

**Q2:**
- Organic: $2100
- Paid: $1000
- Referral: $1700  
→ **Total = 2100 + 1000 + 1700 = $4,800**

---

**Q3:**
- Organic: $3800
- Paid: $4000
- Referral: $3900  
→ **Total = 3800 + 4000 + 3900 = $11,700**

---

**Q4:**
- Organic: $1000
- Paid: $3700
- Referral: $4400  
→ **Total = 1000 + 3700 + 4400 = $9,100**

---

### Comparison:
- Q1: $10,300
- Q2: $4,800
- Q3: **$11,700** ← **Highest**
- Q4: $9,100

---

✅ **Answer: Q3** had the highest total revenue at **$11,700**.",stacked_bar,medium,syn_stacked_0125__q2,"annotated stacked bars; procedural gen (seed=45, idx=25)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0125.png,synthetic,train,max_min,true
"In the Health emergencies protection panel, which region requires the most progress in 2030?",Region of the Americas,,"Looking at the **Health emergencies protection** panel (rightmost chart) in Figure 3.4, we examine the projected progress required for each region to match the top performers by **2030**.

The values shown for 2030 are:

- **African Region**: 29.5%
- **Region of the Americas**: 28.7%
- **South-East Asia Region**: 14.5%
- **European Region**: 17.8%
- **Eastern Mediterranean Region**: 11.7%
- **Western Pacific Region**: 19.5%

The highest value is **29.5%**, corresponding to the **African Region**.

---

✅ **Answer: African Region**",mixed,medium,hs_0020__q1,hardset; WHO; charts19.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0020.png,hardset,train,max_min,true
"For Manufacturing, which quarter had higher revenue, Q1 or Q2?",Q1,,"Looking at the bar chart for **Manufacturing**:

- **Q1 (blue bar)**: $4,700  
- **Q2 (orange bar)**: $3,500

Since **$4,700 > $3,500**, **Q1** had higher revenue for Manufacturing.

✅ **Answer: Q1**",grouped_bar,medium,syn_grouped_0146__q3,"annotated grouped bars; procedural gen (seed=44, idx=46)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0146.png,synthetic,train,multi_series_compare,true
By how much does Enterprise's revenue exceed Startup's?,$6100,,"From the bar chart:

- **Enterprise** revenue = **$7,900**
- **Startup** revenue = **$1,800**

To find how much Enterprise’s revenue exceeds Startup’s:

**$7,900 - $1,800 = $6,100**

✅ **Answer: $6,100**",bar,medium,syn_bar_0132__q3,"annotated bars; procedural gen (seed=42, idx=32)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0132.png,synthetic,train,delta_absolute,true
Did NA have a bigger share of revenue than MEA?,Yes,,"Yes, **NA had a bigger share of revenue than MEA**.

From the pie chart:

- **NA (North America)**: **27.1%**
- **MEA (Middle East & Africa)**: **11.9%**

Since 27.1% > 11.9%, NA’s revenue share is more than double that of MEA.

✅ **Answer: Yes**",pie,medium,syn_pie_0182__q3,"annotated pie; procedural gen (seed=46, idx=82)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0182.png,synthetic,train,compare_categories,true
"Between 2023 and 2024, which had higher revenue for Government?",2023,,"Looking at the bar chart for the **Government** segment:

- **2023 revenue**: $8,200 (blue bar)
- **2024 revenue**: $8,100 (orange bar)

Since **$8,200 > $8,100**, **2023** had higher revenue for the Government segment.

✅ **Answer: 2023**",grouped_bar,medium,syn_grouped_0100__q3,"annotated grouped bars; procedural gen (seed=44, idx=0)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0100.png,synthetic,train,multi_series_compare,true
Was NA's revenue share greater than MEA's?,Yes,,"Yes, **NA's revenue share was greater than MEA's**.

From the pie chart:

- **NA (North America)**: **30.8%**
- **MEA (Middle East & Africa)**: **18.7%**

Since 30.8% > 18.7%, NA’s share is indeed larger than MEA’s.

✅ **Answer: Yes**",pie,medium,syn_pie_0177__q3,"annotated pie; procedural gen (seed=46, idx=77)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0177.png,synthetic,train,compare_categories,true
What percentage of budget came from Support?,25.7%,,"Based on the provided pie chart titled **""Budget by Department""**, the segment labeled **Support** is shown with a value of:

> **25.7%**

This means that **25.7%** of the total budget came from the Support department.

---

✅ **Final Answer: 25.7%**",pie,easy,syn_pie_0124__q1,"annotated pie; procedural gen (seed=46, idx=24)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0124.png,synthetic,train,lookup_value,true
Was Organic's traffic share greater than Referral's?,Yes,,"Yes, **Organic’s traffic share (16.4%)** was greater than **Referral’s (8.9%)**.

Looking at the pie chart:

- **Organic**: 16.4%
- **Referral**: 8.9%

Since 16.4 > 8.9, Organic contributed more traffic than Referral.

✅ **Answer: Yes**",pie,medium,syn_pie_0183__q3,"annotated pie; procedural gen (seed=46, idx=83)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0183.png,synthetic,train,compare_categories,true
"For Education, which year had higher revenue, 2023 or 2024?",2024,,"Looking at the bar chart titled **“Revenue by Segment: 2023 vs 2024”**, we can compare the revenue for the **Education** segment:

- **2023 (blue bar)**: $8,300  
- **2024 (orange bar)**: $9,300

Since **$9,300 > $8,300**, **2024** had higher revenue for the Education segment.

✅ **Answer: 2024**",grouped_bar,medium,syn_grouped_0200__q3,"annotated grouped bars; procedural gen (seed=44, idx=100)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0200.png,synthetic,train,multi_series_compare,true
"Between W7 and W8, did signups increase or decrease?",Decreased,,"Between **W7** and **W8**, signups **decreased**.

- At **W7**, signups = **500**
- At **W8**, signups = **400**

This is a decrease of **100** signups.

✅ **Answer: Decrease**",line,easy,syn_line_0183__q3,"annotated line; procedural gen (seed=43, idx=83, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0183.png,synthetic,train,trend_direction,true
Did signups increase or decrease from W5 to W6?,Increased,,"Looking at the line chart titled **“Weekly Signups — Q4”**:

- At **W5**, the number of signups is **900**.
- At **W6**, the number of signups is **1000**.

Since **1000 > 900**, signups **increased** from W5 to W6.

✅ **Answer: Increased**",line,easy,syn_line_0175__q3,"annotated line; procedural gen (seed=43, idx=75, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0175.png,synthetic,train,trend_direction,true
How much revenue was recorded in Apr?,$6600,,"Based on the provided line chart titled ""Monthly Revenue — H2 2025"", we can determine the revenue for April by locating the data point for that month.

- The horizontal axis (x-axis) represents the months from January to June.
- The vertical axis (y-axis) represents the Revenue in dollars ($).
- By finding ""Apr"" on the x-axis and looking at the corresponding point on the orange line, we can see the labeled value.

The chart explicitly labels the revenue for April as **$6600**.",line,easy,syn_line_0112__q1,"annotated line; procedural gen (seed=43, idx=12, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0112.png,synthetic,train,lookup_value,true
Which team was smallest in revenue?,Epsilon,,"Looking at the bar chart titled **“Monthly Revenue by Team”**, we can compare the revenue values for each team:

- **Gamma**: $5,600  
- **Epsilon**: $4,700  
- **Beta**: $9,600  
- **Theta**: $5,400  
- **Omega**: $6,000  
- **Delta**: $6,100  

The smallest revenue is **$4,700**, which belongs to **Epsilon**.

✅ **Answer: Epsilon**",bar,easy,syn_bar_0199__q2,"annotated bars; procedural gen (seed=42, idx=99)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0199.png,synthetic,train,max_min,true
Was Social's traffic share greater than Email's?,Yes,,"Yes, **Social's traffic share was greater than Email's**.

From the pie chart:

- **Social**: 25.4%
- **Email**: 6.2%

Since 25.4% > 6.2%, Social contributed significantly more traffic than Email.

✅ **Answer: Yes**",pie,medium,syn_pie_0153__q3,"annotated pie; procedural gen (seed=46, idx=53)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0153.png,synthetic,train,compare_categories,true
How many more units did Widget B sell than Widget A?,2200,,"Widget B sold **3400** units.  
Widget A sold **1200** units.

To find how many more units Widget B sold than Widget A:

**3400 - 1200 = 2200**

✅ **Answer: 2200**",bar,medium,syn_bar_0005__q3,annotated bars; correct-by-construction,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0005.png,synthetic,train,delta_absolute,true
Was Sales' share of budget larger than Engineering's?,No,,"No, Sales’ share of the budget was **not** larger than Engineering’s.

From the pie chart:

- **Engineering**: 29.4%
- **Sales**: 26.5%

Since 29.4% > 26.5%, **Engineering had a larger share** of the budget than Sales.

✅ Final Answer: **No**",pie,medium,syn_pie_0139__q3,"annotated pie; procedural gen (seed=46, idx=39)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0139.png,synthetic,train,compare_categories,true
Which region recorded the lowest total revenue?,LATAM,,"To determine which region recorded the **lowest total revenue**, we need to sum the revenues for each product category (Software, Services, Hardware) within each region.

Let’s calculate the total revenue per region:

---

**NA:**
- Software: $2100
- Services: $1600
- Hardware: $1900  
→ **Total = 2100 + 1600 + 1900 = $5600**

---

**EMEA:**
- Software: $2900
- Services: $3000
- Hardware: $2400  
→ **Total = 2900 + 3000 + 2400 = $8300**

---

**LATAM:**
- Software: $1900
- Services: $1000
- Hardware: $2500  
→ **Total = 1900 + 1000 + 2500 = $5400**

---

**APAC:**
- Software: $3000
- Services: $1800
- Hardware: $2400  
→ **Total = 3000 + 1800 + 2400 = $7200**

---

### Comparison:
- NA: $5600
- EMEA: $8300
- LATAM: **$5400** ← **Lowest**
- APAC: $7200

---

✅ **Answer: LATAM** recorded the lowest total revenue at **$5400**.",stacked_bar,medium,syn_stacked_0135__q2,"annotated stacked bars; procedural gen (seed=45, idx=35)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0135.png,synthetic,train,max_min,true
Was HR's budget share greater than Sales'?,No,,"No, HR's budget share was **not** greater than Sales'.

From the pie chart:

- **HR**: 3.7%
- **Sales**: 19.8%

Since 3.7% < 19.8%, **Sales has a significantly larger budget share** than HR.

✅ Final Answer: **No**",pie,medium,syn_pie_0159__q3,"annotated pie; procedural gen (seed=46, idx=59)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0159.png,synthetic,train,compare_categories,true
"In panel (a), did the MSCI World Software Index rise or fall between December 2025 and February 2026?",Fell,,"Looking at **panel (a)** of Chart 2:

- The **MSCI World Software Index** is represented by the **orange line**.
- The x-axis shows time from **12/25 (December 2025)** to **04/26 (April 2026)**.
- At **December 2025 (12/25)**, the orange line starts near **100** (since all indices are normalized to 100 on 1 Dec 2025).
- By **February 2026 (02/26)**, the orange line has risen to approximately **110–115**.

> ✅ Therefore, the **MSCI World Software Index rose** between December 2025 and February 2026.

*(Note: There’s a sharp drop after Feb 2026 — labeled “Start of Middle East war” — but that occurs* after *February 2026.)*

---

**Answer: Rose**",mixed,medium,hs_0017__q2,hardset; ECB; charts16.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0017.png,hardset,train,trend_direction,true
"In Plan, which channel had the highest revenue?",Direct,,"Looking at the **Plan** (blue bars) in the chart:

- **Wholesale**: $2,700  
- **Reseller**: $3,900  
- **Direct**: **$9,300** ← highest  
- **Retail**: $4,600  
- **Marketplace**: $4,900  

✅ The channel with the highest revenue in **Plan** is **Direct**, at **$9,300**.",grouped_bar,easy,syn_grouped_0143__q2,"annotated grouped bars; procedural gen (seed=44, idx=43)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0143.png,synthetic,train,max_min,true
"For Media, which quarter had higher revenue, Q3 or Q4?",Q3,,"Looking at the bar chart for the **Media** vertical:

- **Q3 revenue** is shown as **$7,700** (blue bar)
- **Q4 revenue** is shown as **$5,600** (orange bar)

Since $7,700 > $5,600, **Q3 had higher revenue** for Media.

✅ **Answer: Q3**",grouped_bar,medium,syn_grouped_0134__q3,"annotated grouped bars; procedural gen (seed=44, idx=34)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0134.png,synthetic,train,multi_series_compare,true
What was the total revenue for Enterprise?,$3200,,"To calculate the **total revenue for Enterprise**, we sum the revenues from each tier (Basic, Standard, Pro) as shown in the stacked bar for “Enterprise”:

- **Basic**: $900  
- **Standard**: $1600  
- **Pro**: $700  

**Total = 900 + 1600 + 700 = $3,200**

✅ **Answer: $3,200**",stacked_bar,medium,syn_stacked_0148__q3,"annotated stacked bars; procedural gen (seed=45, idx=48)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0148.png,synthetic,train,aggregation_sum_avg,true
"Between W5 and W6, did signups increase or decrease?",Decreased,,"Between W5 and W6, signups **decreased**.

- At **W5**, signups were **1100**.
- At **W6**, signups dropped to **900**.

That’s a decrease of **200** signups.

✅ So, the answer is: **Decrease**.",line,easy,syn_line_0111__q3,"annotated line; procedural gen (seed=43, idx=11, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0111.png,synthetic,train,trend_direction,true
What was the Organic revenue for Q2?,$1500,,"From the stacked bar chart titled **“Revenue by Quarter and Channel”**, we can see that for **Q2**:

- The **Organic** revenue is represented by the **blue** segment at the bottom of the Q2 bar.
- The value labeled on that blue segment is **$1500**.

---

✅ **Answer: $1500**",stacked_bar,medium,syn_stacked_0170__q1,"annotated stacked bars; procedural gen (seed=45, idx=70)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0170.png,synthetic,train,lookup_value,true
"From Q2 to Q3, did revenue increase or decrease?",Decreased,,"From Q2 to Q3, revenue **decreased**.

- Q2 revenue: **$39,100**
- Q3 revenue: **$38,600**

The difference is $39,100 - $38,600 = **$500 decrease**.

This is also visually evident in the line chart — the line slopes downward from Q2 to Q3.",line,easy,syn_line_0121__q3,"annotated line; procedural gen (seed=43, idx=21, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0121.png,synthetic,train,trend_direction,true
Which month had the highest revenue?,Jul,,"Looking at the line chart titled **“Monthly Revenue — H1 2024”**, we can see the revenue values for each month from July to December:

- **July**: $6,900  
- **August**: $6,700  
- **September**: $5,800  
- **October**: $6,000  
- **November**: $6,400  
- **December**: $5,700  

The highest value is **$6,900**, which occurred in **July**.

✅ **Answer: July**",line,easy,syn_line_0188__q2,"annotated line; procedural gen (seed=43, idx=88, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0188.png,synthetic,train,max_min,true
Revenue in Q2?,$28200,,"Based on the provided line chart titled **""Quarterly Revenue — FY23""**, the revenue for **Q2** is clearly labeled on the graph.

Looking at the data point for Q2:

> **$28,200**

---

✅ **Answer: $28,200**",line,easy,syn_line_0181__q1,"annotated line; procedural gen (seed=43, idx=81, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0181.png,synthetic,train,lookup_value,true
Which source had the largest share of traffic?,Paid,,"Looking at the donut chart titled **“Website Traffic Sources”**, we can compare the percentages for each source:

- **Paid**: 42.9%
- **Organic**: 27.5%
- **Email**: 16.0%
- **Social**: 13.6%

The largest share is clearly **Paid** at **42.9%**.

✅ **Answer: Paid**",donut,easy,syn_donut_0129__q2,"annotated donut; procedural gen (seed=46, idx=123)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_donut_0129.png,synthetic,train,max_min,true
Which quarter had the lowest total revenue?,Q2,,"To determine which quarter had the **lowest total revenue**, we need to sum the revenues from all three channels (Direct, Partner, Marketplace) for each quarter.

Let’s calculate:

---

**Q1:**
- Direct: $2800
- Partner: $3500
- Marketplace: $3800  
→ **Total = 2800 + 3500 + 3800 = $10,100**

---

**Q2:**
- Direct: $900
- Partner: $1700
- Marketplace: $2900  
→ **Total = 900 + 1700 + 2900 = $5,500**

---

**Q3:**
- Direct: $1200
- Partner: $4200
- Marketplace: $2500  
→ **Total = 1200 + 4200 + 2500 = $7,900**

---

**Q4:**
- Direct: $1100
- Partner: $2200
- Marketplace: $2400  
→ **Total = 1100 + 2200 + 2400 = $5,700**

---

Now compare totals:
- Q1: $10,100
- Q2: $5,500 ← **lowest**
- Q3: $7,900
- Q4: $5,700

---

✅ **Answer: Q2** had the lowest total revenue at **$5,500**.",stacked_bar,medium,syn_stacked_0146__q2,"annotated stacked bars; procedural gen (seed=45, idx=46)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0146.png,synthetic,train,max_min,true
"For Finance, which quarter had higher revenue, Q3 or Q4?",Q4,,"Looking at the bar chart for the **Finance** vertical:

- **Q3 revenue** (blue bar) = **$2,500**
- **Q4 revenue** (orange bar) = **$9,000**

Clearly, **Q4** had higher revenue than Q3 for Finance.

✅ **Answer: Q4**",grouped_bar,medium,syn_grouped_0122__q3,"annotated grouped bars; procedural gen (seed=44, idx=22)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0122.png,synthetic,train,multi_series_compare,true
By how much does Manufacturing's revenue exceed Media's?,$3900,,"From the bar chart:

- **Manufacturing** revenue = **$6800**
- **Media** revenue = **$2900**

To find how much Manufacturing exceeds Media:

**$6800 - $2900 = $3900**

✅ **Answer: $3900**",bar,medium,syn_bar_0196__q3,"annotated bars; procedural gen (seed=42, idx=96)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0196.png,synthetic,train,delta_absolute,true
Which segment recorded the highest total revenue?,Enterprise,,"To determine which segment recorded the **highest total revenue**, we need to sum the revenues of all tiers (Basic, Standard, Pro) for each segment.

Let’s calculate the total revenue for each segment:

---

**1. Government:**
- Basic: $600
- Standard: $3100
- Pro: $3200  
→ **Total = 600 + 3100 + 3200 = $6900**

*(Note: The bar shows $3200 for Pro and $3100 for Standard — but the Basic portion is not labeled. However, from the stacked bar height (~$6900), and subtracting 3100+3200=6300, Basic must be $600. Alternatively, if we trust the labels only, we might miss it — but looking at the chart, the Basic slice is small. Let’s verify with other segments.)*

Wait — actually, in the chart, **only the middle and top segments are labeled** for most bars. For example:

- **Government**: Pro = $3200, Standard = $3100 → Basic is unlabeled but visible as a small blue slice at bottom. Total bar height ≈ $6900 → so Basic = $600.
- **Education**: Basic = $2000, Standard = $2400, Pro = $1000 → Total = $5400
- **Enterprise**: Basic = $800, Standard = $3200, Pro = $3500 → Total = $7500
- **Consumer**: Basic = $2900, Standard = $700, Pro = $2800 → Total = $6400
- **SMB**: Basic = $3400, Standard = $1300, Pro = $1800 → Total = $6500

But wait — let’s double-check **Enterprise**:

From the chart:
- Basic (blue): $800
- Standard (orange): $3200
- Pro (green): $3500  
→ **Total = 800 + 3200 + 3500 = $7500**

Now check **Government** again:
- Basic: ? (not labeled)
- Standard: $3100
- Pro: $3200
Total bar height is about $6900 → so Basic = $600 → Total = $6900

Similarly, **Consumer**:
- Basic: $2900
- Standard: $700
- Pro: $2800 → Total = $6400

**SMB**:
- Basic: $3400
- Standard: $1300
- Pro: $1800 → Total = $6500

**Education**:
- Basic: $2000
- Standard: $2400
- Pro: $1000 → Total = $5400

---

So totals:

- Government: **$6900**
- Education: **$5400**
- Enterprise: **$7500**
- Consumer: **$6400**
- SMB: **$6500**

✅ **Enterprise has the highest total revenue at $7500.**

---

**Final Answer: Enterprise**",stacked_bar,medium,syn_stacked_0100__q2,"annotated stacked bars; procedural gen (seed=45, idx=0)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0100.png,synthetic,train,max_min,true
How many more units did Widget E sell than Widget B?,1800,,"From the bar chart:

- **Widget E** sold **5900** units  
- **Widget B** sold **4100** units  

To find how many more units Widget E sold than Widget B:

**5900 - 4100 = 1800**

✅ **Answer: 1800 units**",bar,medium,syn_bar_0188__q3,"annotated bars; procedural gen (seed=42, idx=88)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0188.png,synthetic,train,delta_absolute,true
Which channel made the least revenue in Actual?,Partner,,"Looking at the **Actual** revenue values (orange bars) for each channel:

- **Online**: $8,800  
- **Partner**: $3,800  
- **Direct**: $4,800  
- **Retail**: $3,900  

The smallest value is **$3,800**, which corresponds to the **Partner** channel.

✅ **Answer: Partner**",grouped_bar,easy,syn_grouped_0199__q2,"annotated grouped bars; procedural gen (seed=44, idx=99)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0199.png,synthetic,train,max_min,true
What was the total revenue for Enterprise?,$6900,,"To calculate the **total revenue for the Enterprise segment**, we sum the revenues from each product tier within that segment:

From the chart:

- **Basic**: $2900  
- **Standard**: $2300  
- **Pro**: $1700  

Now, add them up:

**$2900 + $2300 + $1700 = $6900**

---

✅ **Total Revenue for Enterprise: $6900**",stacked_bar,medium,syn_stacked_0184__q3,"annotated stacked bars; procedural gen (seed=45, idx=84)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0184.png,synthetic,train,aggregation_sum_avg,true
"In panel (a), which index reached the highest value by May 2026?",MSCI World Energy Sector Index,,"Looking at **panel (a)** of Chart 2:

- The chart shows three indices from **December 1, 2025 to May 2026**, with **Dec 1, 2025 = 100**.
- The indices are:
  - **Blue line**: MSCI Global Artificial Intelligence Index
  - **Yellow line**: MSCI World Software Index
  - **Orange line**: MSCI World Energy Sector Index

By **May 2026** (the rightmost point on the x-axis):

- The **orange line (Energy)** is clearly the highest — it peaks near **140**.
- The blue line (AI) is around **115–120**.
- The yellow line (Software) is around **85–90**.

Also note the annotation: “Start of Middle East war” — which likely explains the sharp rise in energy prices and thus the Energy index.

---

✅ **Answer: MSCI World Energy Sector Index**",mixed,medium,hs_0017__q1,hardset; ECB; charts16.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0017.png,hardset,train,max_min,true
In which week were signups lowest?,W4,,"Looking at the line chart titled **“Signups by Week — Q2”**, we can see the signup numbers for each week:

- W1: 1100  
- W2: 1100  
- W3: 1100  
- **W4: 900** ← lowest point  
- W5: 1100  
- W6: 1000  
- W7: 1100  
- W8: 1200  

The lowest value is **900**, which occurs in **Week 4 (W4)**.

✅ **Answer: W4**",line,easy,syn_line_0163__q2,"annotated line; procedural gen (seed=43, idx=63, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0163.png,synthetic,train,max_min,true
Which month had the fewest users?,May,,"Looking at the line chart titled **“Active Users by Month — H2 2024”**, we can see the number of active users for each month from January to June:

- **Jan**: 28,500  
- **Feb**: 24,600  
- **Mar**: 23,500  
- **Apr**: 24,000  
- **May**: 23,000  
- **Jun**: 23,100  

The lowest value is **23,000**, which occurred in **May**.

---

✅ **Answer: May**",line,easy,syn_line_0162__q2,"annotated line; procedural gen (seed=43, idx=62, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0162.png,synthetic,train,max_min,true
Revenue for Zeta?,$7200,,"From the bar chart titled **“Monthly Revenue by Team”**, the revenue for **Zeta** is clearly labeled on top of its bar.

✅ **Zeta’s revenue = $7,200**

This is the highest among all teams shown (Gamma: $5,000; Delta: $3,500; Alpha: $5,300).

---

**Answer: $7,200**",bar,easy,syn_bar_0175__q1,"annotated bars; procedural gen (seed=42, idx=75)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0175.png,synthetic,train,lookup_value,true
"Between Q1 and Q2, did revenue increase or decrease?",Increased,,"Between Q1 and Q2, revenue **increased**.

- Q1 revenue: **$25,200**
- Q2 revenue: **$30,900**

The increase is:  
**$30,900 - $25,200 = $5,700**

This is also visually evident from the upward slope of the line between Q1 and Q2 on the chart.",line,easy,syn_line_0201__q3,"annotated line; procedural gen (seed=43, idx=101, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0201.png,synthetic,train,trend_direction,true
